,problem,k,run,best,time,iteration
0,heur049_n_300_m_17695,25,1,49357,4302,0
1,heur049_n_300_m_17695,25,12,49280,4817,0
2,heur049_n_300_m_17695,25,16,49337,4890,0
3,heur049_n_300_m_17695,25,29,49387,4208,0
4,heur049_n_300_m_17695,25,19,49336,4126,0
5,heur049_n_300_m_17695,25,6,49326,4988,0
6,heur049_n_300_m_17695,25,25,49310,4266,0
7,heur049_n_300_m_17695,25,26,49314,4242,0
8,heur049_n_300_m_17695,25,5,49368,4901,0
9,heur049_n_300_m_17695,25,10,49347,5012,0
10,heur049_n_300_m_17695,25,15,49291,4850,0
11,heur049_n_300_m_17695,25,3,49370,4525,0
12,heur049_n_300_m_17695,25,13,49326,4892,0
13,heur049_n_300_m_17695,25,21,49354,2975,0
14,heur049_n_300_m_17695,25,14,49269,4831,0
15,heur049_n_300_m_17695,25,27,49285,3954,0
16,heur049_n_300_m_17695,25,7,49370,4723,0
17,heur049_n_300_m_17695,25,28,49400,4043,0
18,heur049_n_300_m_17695,25,4,49306,4817,0
19,heur049_n_300_m_17695,25,18,49318,2680,0
20,heur049_n_300_m_17695,25,11,49341,4993,0
21,heur049_n_300_m_17695,25,20,49290,3963,0
22,heur049_n_300_m_17695,25,9,49279,4959,0
23,heur049_n_300_m_17695,25,17,49288,4505,0
24,heur049_n_300_m_17695,25,22,49336,4247,0
25,heur049_n_300_m_17695,25,24,49375,4530,0
26,heur049_n_300_m_17695,25,2,49301,4643,0
27,heur049_n_300_m_17695,25,23,49257,4475,0
28,heur049_n_300_m_17695,25,8,49312,4829,0
29,heur049_n_300_m_17695,25,30,49434,3929,0
30,heur049_n_300_m_17695,50,6,49341,5233,0
31,heur049_n_300_m_17695,50,14,49333,5329,0
32,heur049_n_300_m_17695,50,22,49264,4211,0
33,heur049_n_300_m_17695,50,30,49360,4172,0
34,heur049_n_300_m_17695,50,7,49358,5434,0
35,heur049_n_300_m_17695,50,11,49337,5145,0
36,heur049_n_300_m_17695,50,15,49280,5302,0
37,heur049_n_300_m_17695,50,23,49302,3809,0
38,heur049_n_300_m_17695,50,16,49307,5369,0
39,heur049_n_300_m_17695,50,24,49353,2451,0
40,heur049_n_300_m_17695,50,8,49347,5471,0
41,heur049_n_300_m_17695,50,2,49351,5078,0
42,heur049_n_300_m_17695,50,17,49280,4952,0
43,heur049_n_300_m_17695,50,25,49316,4374,0
44,heur049_n_300_m_17695,50,9,49318,5314,0
45,heur049_n_300_m_17695,50,1,49372,4852,0
46,heur049_n_300_m_17695,50,26,49368,3697,0
47,heur049_n_300_m_17695,50,18,49366,4795,0
48,heur049_n_300_m_17695,50,10,49340,5485,0
49,heur049_n_300_m_17695,50,13,49394,5214,0
50,heur049_n_300_m_17695,50,21,49397,2798,0
51,heur049_n_300_m_17695,50,5,49389,5313,0
52,heur049_n_300_m_17695,50,27,49302,3676,0
53,heur049_n_300_m_17695,50,19,49332,4732,0
54,heur049_n_300_m_17695,50,29,49317,4272,0
55,heur049_n_300_m_17695,50,4,49326,5403,0
56,heur049_n_300_m_17695,50,12,49355,5461,0
57,heur049_n_300_m_17695,50,28,49327,3682,0
58,heur049_n_300_m_17695,50,20,49258,4508,0
59,heur049_n_300_m_17695,50,3,49359,5196,0
60,heur049_n_300_m_17695,100,24,49318,3741,0
61,heur049_n_300_m_17695,100,17,49263,4567,0
62,heur049_n_300_m_17695,100,25,49306,4349,0
63,heur049_n_300_m_17695,100,2,49290,4974,0
64,heur049_n_300_m_17695,100,9,49247,5009,0
65,heur049_n_300_m_17695,100,1,49333,5219,0
66,heur049_n_300_m_17695,100,18,49348,4522,0
67,heur049_n_300_m_17695,100,26,49309,4260,0
68,heur049_n_300_m_17695,100,10,49345,5394,0
69,heur049_n_300_m_17695,100,3,49322,5101,0
70,heur049_n_300_m_17695,100,27,49346,2581,0
71,heur049_n_300_m_17695,100,19,49329,4023,0
72,heur049_n_300_m_17695,100,12,49340,5457,0
73,heur049_n_300_m_17695,100,4,49322,5428,0
74,heur049_n_300_m_17695,100,20,49374,4125,0
75,heur049_n_300_m_17695,100,28,49343,4160,0
76,heur049_n_300_m_17695,100,5,49273,5489,0
77,heur049_n_300_m_17695,100,13,49312,5447,0
78,heur049_n_300_m_17695,100,21,49240,4463,0
79,heur049_n_300_m_17695,100,29,49327,4192,0
80,heur049_n_300_m_17695,100,6,49437,5448,0
81,heur049_n_300_m_17695,100,14,49351,5420,0
82,heur049_n_300_m_17695,100,22,49280,2600,0
83,heur049_n_300_m_17695,100,30,49348,4151,0
84,heur049_n_300_m_17695,100,7,49414,5499,0
85,heur049_n_300_m_17695,100,11,49346,5501,0
86,heur049_n_300_m_17695,100,15,49385,5400,0
87,heur049_n_300_m_17695,100,23,49337,3696,0
88,heur049_n_300_m_17695,100,16,49340,5384,0
89,heur049_n_300_m_17695,100,8,49405,5425,0
