,problem,pop_size,construction,selection,combiner,mutator,replacer,iterations,run,best,time,iteration
0,heur002_n_100_m_3274,10,Edge Construction [k=100],Rank Selection [f=0.5],Pick Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,250,0,9391,5821,0
1,heur002_n_100_m_3274,10,Edge Construction [k=100],Rank Selection [f=0.5],Pick Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,250,0,9389,5821,1
2,heur002_n_100_m_3274,10,Edge Construction [k=100],Rank Selection [f=0.5],Pick Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,250,0,9374,5821,2
3,heur002_n_100_m_3274,10,Edge Construction [k=100],Rank Selection [f=0.5],Pick Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,250,0,9374,5821,3
4,heur002_n_100_m_3274,10,Edge Construction [k=100],Rank Selection [f=0.5],Pick Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,250,0,9374,5821,4
5,heur002_n_100_m_3274,10,Edge Construction [k=100],Rank Selection [f=0.5],Pick Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,250,0,9374,5821,5
6,heur002_n_100_m_3274,10,Edge Construction [k=100],Rank Selection [f=0.5],Pick Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,250,0,9374,5821,6
7,heur002_n_100_m_3274,10,Edge Construction [k=100],Rank Selection [f=0.5],Pick Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,250,0,9374,5821,7
8,heur002_n_100_m_3274,10,Edge Construction [k=100],Rank Selection [f=0.5],Pick Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,250,0,9374,5821,8
9,heur002_n_100_m_3274,10,Edge Construction [k=100],Rank Selection [f=0.5],Pick Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,250,0,9374,5821,9
10,heur002_n_100_m_3274,10,Edge Construction [k=100],Rank Selection [f=0.5],Pick Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,250,0,9374,5821,10
11,heur002_n_100_m_3274,10,Edge Construction [k=100],Rank Selection [f=0.5],Pick Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,250,0,9374,5821,11
12,heur002_n_100_m_3274,10,Edge Construction [k=100],Rank Selection [f=0.5],Pick Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,250,0,9374,5821,12
13,heur002_n_100_m_3274,10,Edge Construction [k=100],Rank Selection [f=0.5],Pick Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,250,0,9374,5821,13
14,heur002_n_100_m_3274,10,Edge Construction [k=100],Rank Selection [f=0.5],Pick Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,250,0,9374,5821,14
15,heur002_n_100_m_3274,10,Edge Construction [k=100],Rank Selection [f=0.5],Pick Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,250,0,9374,5821,15
16,heur002_n_100_m_3274,10,Edge Construction [k=100],Rank Selection [f=0.5],Pick Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,250,0,9374,5821,16
17,heur002_n_100_m_3274,10,Edge Construction [k=100],Rank Selection [f=0.5],Pick Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,250,0,9374,5821,17
18,heur002_n_100_m_3274,10,Edge Construction [k=100],Rank Selection [f=0.5],Pick Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,250,0,9374,5821,18
