,problem,pop_size,construction,selection,combiner,mutator,replacer,iterations,run,best,time,iteration
0,heur002_n_100_m_3274,5,<splex.con.vertex.VertexConstruction2 object at 0x7f1449287510>,Rank Selection [f=0.5],Converge Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,100,5,3004,30225,0
1,heur002_n_100_m_3274,5,<splex.con.vertex.VertexConstruction2 object at 0x7f1449287510>,Rank Selection [f=0.5],Converge Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,100,5,2809,30225,1
2,heur002_n_100_m_3274,5,<splex.con.vertex.VertexConstruction2 object at 0x7f1449287510>,Rank Selection [f=0.5],Converge Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,100,5,2809,30225,2
3,heur002_n_100_m_3274,5,<splex.con.vertex.VertexConstruction2 object at 0x7f1449287510>,Rank Selection [f=0.5],Converge Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,100,5,2809,30225,3
4,heur002_n_100_m_3274,5,<splex.con.vertex.VertexConstruction2 object at 0x7f1449287510>,Rank Selection [f=0.5],Converge Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,100,5,2809,30225,4
5,heur002_n_100_m_3274,5,<splex.con.vertex.VertexConstruction2 object at 0x7f1449287510>,Rank Selection [f=0.5],Converge Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,100,5,2809,30225,5
6,heur002_n_100_m_3274,5,<splex.con.vertex.VertexConstruction2 object at 0x7f1449287510>,Rank Selection [f=0.5],Converge Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,100,5,2809,30225,6
7,heur002_n_100_m_3274,5,<splex.con.vertex.VertexConstruction2 object at 0x7f1449287510>,Rank Selection [f=0.5],Converge Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,100,5,2809,30225,7
8,heur002_n_100_m_3274,5,<splex.con.vertex.VertexConstruction2 object at 0x7f1449287510>,Rank Selection [f=0.5],Converge Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,100,5,2809,30225,8
9,heur002_n_100_m_3274,5,<splex.con.vertex.VertexConstruction2 object at 0x7f1449287510>,Rank Selection [f=0.5],Converge Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,100,5,2809,30225,9
10,heur002_n_100_m_3274,5,<splex.con.vertex.VertexConstruction2 object at 0x7f1449287510>,Rank Selection [f=0.5],Converge Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,100,5,2809,30225,10
11,heur002_n_100_m_3274,5,<splex.con.vertex.VertexConstruction2 object at 0x7f1449287510>,Rank Selection [f=0.5],Converge Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,100,5,2809,30225,11
12,heur002_n_100_m_3274,5,<splex.con.vertex.VertexConstruction2 object at 0x7f1449287510>,Rank Selection [f=0.5],Converge Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,100,5,2809,30225,12
13,heur002_n_100_m_3274,5,<splex.con.vertex.VertexConstruction2 object at 0x7f1449287510>,Rank Selection [f=0.5],Converge Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,100,5,2809,30225,13
14,heur002_n_100_m_3274,5,<splex.con.vertex.VertexConstruction2 object at 0x7f1449287510>,Rank Selection [f=0.5],Converge Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,100,5,2809,30225,14
15,heur002_n_100_m_3274,5,<splex.con.vertex.VertexConstruction2 object at 0x7f1449287510>,Rank Selection [f=0.5],Converge Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,100,5,2809,30225,15
16,heur002_n_100_m_3274,5,<splex.con.vertex.VertexConstruction2 object at 0x7f1449287510>,Rank Selection [f=0.5],Converge Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,100,5,2809,30225,16
17,heur002_n_100_m_3274,5,<splex.con.vertex.VertexConstruction2 object at 0x7f1449287510>,Rank Selection [f=0.5],Converge Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,100,5,2809,30225,17
18,heur002_n_100_m_3274,5,<splex.con.vertex.VertexConstruction2 object at 0x7f1449287510>,Rank Selection [f=0.5],Converge Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,100,5,2809,30225,18
19,heur002_n_100_m_3274,5,<splex.con.vertex.VertexConstruction2 object at 0x7f1449287510>,Rank Selection [f=0.5],Converge Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,100,5,2809,30225,19
20,heur002_n_100_m_3274,5,<splex.con.vertex.VertexConstruction2 object at 0x7f1449287510>,Rank Selection [f=0.5],Converge Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,100,5,2809,30225,20
21,heur002_n_100_m_3274,5,<splex.con.vertex.VertexConstruction2 object at 0x7f1449287510>,Rank Selection [f=0.5],Converge Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,100,5,2809,30225,21
22,heur002_n_100_m_3274,5,<splex.con.vertex.VertexConstruction2 object at 0x7f1449287510>,Rank Selection [f=0.5],Converge Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,100,5,2809,30225,22
23,heur002_n_100_m_3274,5,<splex.con.vertex.VertexConstruction2 object at 0x7f1449287510>,Rank Selection [f=0.5],Converge Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,100,5,2809,30225,23
24,heur002_n_100_m_3274,5,<splex.con.vertex.VertexConstruction2 object at 0x7f1449287510>,Rank Selection [f=0.5],Converge Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,100,5,2809,30225,24
25,heur002_n_100_m_3274,5,<splex.con.vertex.VertexConstruction2 object at 0x7f1449287510>,Rank Selection [f=0.5],Converge Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,100,5,2809,30225,25
26,heur002_n_100_m_3274,5,<splex.con.vertex.VertexConstruction2 object at 0x7f1449287510>,Rank Selection [f=0.5],Converge Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,100,5,2809,30225,26
27,heur002_n_100_m_3274,5,<splex.con.vertex.VertexConstruction2 object at 0x7f1449287510>,Rank Selection [f=0.5],Converge Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,100,5,2809,30225,27
28,heur002_n_100_m_3274,5,<splex.con.vertex.VertexConstruction2 object at 0x7f1449287510>,Rank Selection [f=0.5],Converge Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,100,5,2809,30225,28
29,heur002_n_100_m_3274,5,<splex.con.vertex.VertexConstruction2 object at 0x7f1449287510>,Rank Selection [f=0.5],Converge Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,100,5,2809,30225,29
30,heur002_n_100_m_3274,5,<splex.con.vertex.VertexConstruction2 object at 0x7f1449287510>,Rank Selection [f=0.5],Converge Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,100,5,2809,30225,30
31,heur002_n_100_m_3274,5,<splex.con.vertex.VertexConstruction2 object at 0x7f1449287510>,Rank Selection [f=0.5],Converge Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,100,5,2809,30225,31
32,heur002_n_100_m_3274,5,<splex.con.vertex.VertexConstruction2 object at 0x7f1449287510>,Rank Selection [f=0.5],Converge Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,100,5,2809,30225,32
33,heur002_n_100_m_3274,5,<splex.con.vertex.VertexConstruction2 object at 0x7f1449287510>,Rank Selection [f=0.5],Converge Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,100,5,2809,30225,33
34,heur002_n_100_m_3274,5,<splex.con.vertex.VertexConstruction2 object at 0x7f1449287510>,Rank Selection [f=0.5],Converge Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,100,5,2809,30225,34
35,heur002_n_100_m_3274,5,<splex.con.vertex.VertexConstruction2 object at 0x7f1449287510>,Rank Selection [f=0.5],Converge Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,100,5,2809,30225,35
36,heur002_n_100_m_3274,5,<splex.con.vertex.VertexConstruction2 object at 0x7f1449287510>,Rank Selection [f=0.5],Converge Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,100,5,2809,30225,36
37,heur002_n_100_m_3274,5,<splex.con.vertex.VertexConstruction2 object at 0x7f1449287510>,Rank Selection [f=0.5],Converge Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,100,5,2809,30225,37
38,heur002_n_100_m_3274,5,<splex.con.vertex.VertexConstruction2 object at 0x7f1449287510>,Rank Selection [f=0.5],Converge Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,100,5,2809,30225,38
39,heur002_n_100_m_3274,5,<splex.con.vertex.VertexConstruction2 object at 0x7f1449287510>,Rank Selection [f=0.5],Converge Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,100,5,2809,30225,39
40,heur002_n_100_m_3274,5,<splex.con.vertex.VertexConstruction2 object at 0x7f1449287510>,Rank Selection [f=0.5],Converge Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,100,5,2809,30225,40
41,heur002_n_100_m_3274,5,<splex.con.vertex.VertexConstruction2 object at 0x7f1449287510>,Rank Selection [f=0.5],Converge Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,100,5,2809,30225,41
42,heur002_n_100_m_3274,5,<splex.con.vertex.VertexConstruction2 object at 0x7f1449287510>,Rank Selection [f=0.5],Converge Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,100,5,2809,30225,42
43,heur002_n_100_m_3274,5,<splex.con.vertex.VertexConstruction2 object at 0x7f1449287510>,Rank Selection [f=0.5],Converge Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,100,5,2809,30225,43
44,heur002_n_100_m_3274,5,<splex.con.vertex.VertexConstruction2 object at 0x7f1449287510>,Rank Selection [f=0.5],Converge Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,100,5,2809,30225,44
45,heur002_n_100_m_3274,5,<splex.con.vertex.VertexConstruction2 object at 0x7f1449287510>,Rank Selection [f=0.5],Converge Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,100,5,2809,30225,45
46,heur002_n_100_m_3274,5,<splex.con.vertex.VertexConstruction2 object at 0x7f1449287510>,Rank Selection [f=0.5],Converge Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,100,5,2809,30225,46
47,heur002_n_100_m_3274,5,<splex.con.vertex.VertexConstruction2 object at 0x7f1449287510>,Rank Selection [f=0.5],Converge Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,100,5,2809,30225,47
48,heur002_n_100_m_3274,5,<splex.con.vertex.VertexConstruction2 object at 0x7f1449287510>,Rank Selection [f=0.5],Converge Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,100,5,2809,30225,48
49,heur002_n_100_m_3274,5,<splex.con.vertex.VertexConstruction2 object at 0x7f1449287510>,Rank Selection [f=0.5],Converge Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,100,5,2809,30225,49
50,heur002_n_100_m_3274,5,<splex.con.vertex.VertexConstruction2 object at 0x7f1449287510>,Rank Selection [f=0.5],Converge Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,100,5,2809,30225,50
51,heur002_n_100_m_3274,5,<splex.con.vertex.VertexConstruction2 object at 0x7f1449287510>,Rank Selection [f=0.5],Converge Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,100,5,2809,30225,51
52,heur002_n_100_m_3274,5,<splex.con.vertex.VertexConstruction2 object at 0x7f1449287510>,Rank Selection [f=0.5],Converge Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,100,5,2809,30225,52
53,heur002_n_100_m_3274,5,<splex.con.vertex.VertexConstruction2 object at 0x7f1449287510>,Rank Selection [f=0.5],Converge Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,100,5,2809,30225,53
54,heur002_n_100_m_3274,5,<splex.con.vertex.VertexConstruction2 object at 0x7f1449287510>,Rank Selection [f=0.5],Converge Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,100,5,2809,30225,54
55,heur002_n_100_m_3274,5,<splex.con.vertex.VertexConstruction2 object at 0x7f1449287510>,Rank Selection [f=0.5],Converge Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,100,5,2809,30225,55
56,heur002_n_100_m_3274,5,<splex.con.vertex.VertexConstruction2 object at 0x7f1449287510>,Rank Selection [f=0.5],Converge Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,100,5,2809,30225,56
57,heur002_n_100_m_3274,5,<splex.con.vertex.VertexConstruction2 object at 0x7f1449287510>,Rank Selection [f=0.5],Converge Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,100,5,2809,30225,57
58,heur002_n_100_m_3274,5,<splex.con.vertex.VertexConstruction2 object at 0x7f1449287510>,Rank Selection [f=0.5],Converge Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,100,5,2809,30225,58
59,heur002_n_100_m_3274,5,<splex.con.vertex.VertexConstruction2 object at 0x7f1449287510>,Rank Selection [f=0.5],Converge Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,100,5,2809,30225,59
60,heur002_n_100_m_3274,5,<splex.con.vertex.VertexConstruction2 object at 0x7f1449287510>,Rank Selection [f=0.5],Converge Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,100,5,2809,30225,60
61,heur002_n_100_m_3274,5,<splex.con.vertex.VertexConstruction2 object at 0x7f1449287510>,Rank Selection [f=0.5],Converge Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,100,5,2809,30225,61
62,heur002_n_100_m_3274,5,<splex.con.vertex.VertexConstruction2 object at 0x7f1449287510>,Rank Selection [f=0.5],Converge Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,100,5,2809,30225,62
63,heur002_n_100_m_3274,5,<splex.con.vertex.VertexConstruction2 object at 0x7f1449287510>,Rank Selection [f=0.5],Converge Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,100,5,2809,30225,63
64,heur002_n_100_m_3274,5,<splex.con.vertex.VertexConstruction2 object at 0x7f1449287510>,Rank Selection [f=0.5],Converge Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,100,5,2809,30225,64
65,heur002_n_100_m_3274,5,<splex.con.vertex.VertexConstruction2 object at 0x7f1449287510>,Rank Selection [f=0.5],Converge Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,100,5,2809,30225,65
66,heur002_n_100_m_3274,5,<splex.con.vertex.VertexConstruction2 object at 0x7f1449287510>,Rank Selection [f=0.5],Converge Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,100,5,2809,30225,66
67,heur002_n_100_m_3274,5,<splex.con.vertex.VertexConstruction2 object at 0x7f1449287510>,Rank Selection [f=0.5],Converge Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,100,5,2809,30225,67
68,heur002_n_100_m_3274,5,<splex.con.vertex.VertexConstruction2 object at 0x7f1449287510>,Rank Selection [f=0.5],Converge Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,100,5,2809,30225,68
69,heur002_n_100_m_3274,5,<splex.con.vertex.VertexConstruction2 object at 0x7f1449287510>,Rank Selection [f=0.5],Converge Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,100,5,2809,30225,69
70,heur002_n_100_m_3274,5,<splex.con.vertex.VertexConstruction2 object at 0x7f1449287510>,Rank Selection [f=0.5],Converge Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,100,5,2809,30225,70
71,heur002_n_100_m_3274,5,<splex.con.vertex.VertexConstruction2 object at 0x7f1449287510>,Rank Selection [f=0.5],Converge Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,100,5,2809,30225,71
72,heur002_n_100_m_3274,5,<splex.con.vertex.VertexConstruction2 object at 0x7f1449287510>,Rank Selection [f=0.5],Converge Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,100,5,2809,30225,72
73,heur002_n_100_m_3274,5,<splex.con.vertex.VertexConstruction2 object at 0x7f1449287510>,Rank Selection [f=0.5],Converge Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,100,5,2809,30225,73
74,heur002_n_100_m_3274,5,<splex.con.vertex.VertexConstruction2 object at 0x7f1449287510>,Rank Selection [f=0.5],Converge Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,100,5,2809,30225,74
75,heur002_n_100_m_3274,5,<splex.con.vertex.VertexConstruction2 object at 0x7f1449287510>,Rank Selection [f=0.5],Converge Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,100,5,2809,30225,75
76,heur002_n_100_m_3274,5,<splex.con.vertex.VertexConstruction2 object at 0x7f1449287510>,Rank Selection [f=0.5],Converge Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,100,5,2809,30225,76
77,heur002_n_100_m_3274,5,<splex.con.vertex.VertexConstruction2 object at 0x7f1449287510>,Rank Selection [f=0.5],Converge Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,100,5,2809,30225,77
78,heur002_n_100_m_3274,5,<splex.con.vertex.VertexConstruction2 object at 0x7f1449287510>,Rank Selection [f=0.5],Converge Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,100,5,2809,30225,78
79,heur002_n_100_m_3274,5,<splex.con.vertex.VertexConstruction2 object at 0x7f1449287510>,Rank Selection [f=0.5],Converge Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,100,5,2809,30225,79
80,heur002_n_100_m_3274,5,<splex.con.vertex.VertexConstruction2 object at 0x7f1449287510>,Rank Selection [f=0.5],Converge Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,100,5,2809,30225,80
81,heur002_n_100_m_3274,5,<splex.con.vertex.VertexConstruction2 object at 0x7f1449287510>,Rank Selection [f=0.5],Converge Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,100,5,2809,30225,81
