,problem,run,best,time,iteration
0,heur049_n_300_m_17695,6,24423,627,0
1,heur049_n_300_m_17695,23,23253,468,0
2,heur049_n_300_m_17695,30,21992,338,0
3,heur049_n_300_m_17695,20,26273,444,0
4,heur049_n_300_m_17695,7,23034,636,0
5,heur049_n_300_m_17695,1,23856,434,0
6,heur049_n_300_m_17695,11,22307,607,0
7,heur049_n_300_m_17695,12,38027,642,0
8,heur049_n_300_m_17695,21,24882,576,0
9,heur049_n_300_m_17695,13,28324,590,0
10,heur049_n_300_m_17695,2,26344,603,0
11,heur049_n_300_m_17695,8,25686,612,0
12,heur049_n_300_m_17695,22,21791,447,0
13,heur049_n_300_m_17695,14,29646,643,0
14,heur049_n_300_m_17695,25,22511,433,0
15,heur049_n_300_m_17695,9,32273,624,0
16,heur049_n_300_m_17695,15,23409,591,0
17,heur049_n_300_m_17695,26,23690,380,0
18,heur049_n_300_m_17695,3,35040,611,0
19,heur049_n_300_m_17695,27,22950,396,0
20,heur049_n_300_m_17695,17,23967,594,0
21,heur049_n_300_m_17695,4,27140,549,0
22,heur049_n_300_m_17695,24,26794,531,0
23,heur049_n_300_m_17695,28,23641,390,0
24,heur049_n_300_m_17695,16,25111,610,0
25,heur049_n_300_m_17695,18,25005,506,0
26,heur049_n_300_m_17695,10,25086,622,0
27,heur049_n_300_m_17695,5,26046,670,0
28,heur049_n_300_m_17695,29,24452,381,0
29,heur049_n_300_m_17695,19,26357,507,0
