,problem,pop_size,construction,selection,combiner,mutator,replacer,iterations,run,best,time,iteration
0,heur040_n_300_m_13358,10,Vertex Construction,Rank Selection [f=0.5],Converge Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,100,2,9495,147962,0
1,heur040_n_300_m_13358,10,Vertex Construction,Rank Selection [f=0.5],Converge Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,100,2,8503,147962,1
2,heur040_n_300_m_13358,10,Vertex Construction,Rank Selection [f=0.5],Converge Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,100,2,8503,147962,2
3,heur040_n_300_m_13358,10,Vertex Construction,Rank Selection [f=0.5],Converge Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,100,2,8503,147962,3
4,heur040_n_300_m_13358,10,Vertex Construction,Rank Selection [f=0.5],Converge Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,100,2,8503,147962,4
5,heur040_n_300_m_13358,10,Vertex Construction,Rank Selection [f=0.5],Converge Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,100,2,8503,147962,5
6,heur040_n_300_m_13358,10,Vertex Construction,Rank Selection [f=0.5],Converge Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,100,2,8503,147962,6
7,heur040_n_300_m_13358,10,Vertex Construction,Rank Selection [f=0.5],Converge Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,100,2,8503,147962,7
8,heur040_n_300_m_13358,10,Vertex Construction,Rank Selection [f=0.5],Converge Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,100,2,8407,147962,8
9,heur040_n_300_m_13358,10,Vertex Construction,Rank Selection [f=0.5],Converge Combiner [f=0.5],"Vertex Move Mutation [fc=0.05, fv=0.05]",Best Replacement,100,2,8407,147962,9
